Repo Name,Collaborator,Collaborator2,Collaborator3,Collaborator4,Collaborator5,Collaborator6,Collaborator7,Collaborator8,Collaborator9,Collaborator10,Collaborator11,Collaborator12,Collaborator13,Collaborator14,Collaborator15,Collaborator16,Collaborator17,Collaborator18,Collaborator19,Collaborator20,Collaborator21,Collaborator22,Collaborator23,Collaborator24,Collaborator25,Collaborator26,Collaborator27,Collaborator28,Collaborator29
NRM-MinrlMater,nathan-farnsworth,susan-emery,enlang,gary-petrakes,cchood,robert-downing,jaylene-rich,"beth-dowsett""",,,,,,,,,,,,,,,,,,,,,
NRM-MobileBuilder,aaronburk,nathan-farnsworth,sukanya-pailla,marc-smith,brian-moe,"elisha-palmer""",,,,,,,,,,,,,,,,,,,,,,,
NRM-Modernization-Reports-Conversion,adrian-grell,Timothy-Lindemann,"Joseph-Gouge""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Modernization-Research,mahmoud-awad,Dylan-Mcafee,Adam-Shepherd,"Suchit-Sharma""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-NAMP,aaronburk,nathan-farnsworth,naveen-jonnalagadda,susan-emery,anupama-wudali,gary-petrakes,thompson-grant,alla-gatton,brian-moe,denise-wickwar,elisha-palmer,jonathanbenoit,kathy-kennedy,robert-downing,svitlana-sergeeva,Cynthia-Maki,Pamela-Hergett,Daniel-Doherty,Michelle-Anderson2,jared-boehmke,Bradley-Fels,christopher-j-murphy,betty-block,Joshua-Weathers,"Ian-Powers""",,,,
NRM-NEFA,john-cowardin,nathan-farnsworth,Timothy-Lindemann,"Michael-Allen""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-NRMClient,nathan-farnsworth,ethan-bodin,jencinas,lynne-ouellette,"Michael-Allen""",,,,,,,,,,,,,,,,,,,,,,,,
NRM-NRMClient-ArcPro-2023,stephaniebelarde,"Susan-Schaibly""",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-NRMMap,christalrhigdon,nathan-farnsworth,lance-bragin,ethan-bodin,adrian-grell,frederick-pieper,Timothy-Lindemann,Lorena-Vasquez,Michael-Allen,"Scott-Johnson""",,,,,,,,,,,,,,,,,,,
NRM-NRMMap-JSAPI,nathan-farnsworth,ethan-bodin,"adrian-grell""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-NVUM,nathan-farnsworth,Cynthia-Maki,sarah-cline,Joshua-Weathers,Ian-Powers,"Jeffrey-Chase""",,,,,,,,,,,,,,,,,,,,,,,
NRM-NVUM-FYUploads,nathan-farnsworth,colin-stynes,john-simonitch,jose-acosta3,cyndee-maki,Cynthia-Maki,Michelle-Anderson2,"sarah-cline""",,,,,,,,,,,,,,,,,,,,,
NRM-NVUM-Results,nathan-farnsworth,jose-acosta3,bjlee,cyndee-maki,Cynthia-Maki,Michelle-Anderson2,sarah-cline,Joshua-Weathers,"Gaurav-Thakkar""",,,,,,,,,,,,,,,,,,,,
NRM-OM-Contract-Report,nathan-farnsworth,"ethan-bodin""",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-OPS,nathan-farnsworth,naveen-jonnalagadda,"steven-moslin""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-OPS-Testing-Sandbox,lena-ahad,anupama-wudali,"gina-siroy""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-P-Account-Tracker,michael-spritzer,nathan-farnsworth,steven-lammey,gina-siroy,"mona-tomomitsu""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-QA,lance-bragin,"bjlee""",,,,,,,,,,,,,,,,,,,,,,,,,,,
